City Services Availability,Housing Cost,Quality of schools,Community trust in local police,Community Maintenance,Availability of Community Room ,Unhappy/Happy
5.0,3.0,3.0,3.0,5.0,3.0,1.0
5.0,3.0,3.0,3.0,5.0,3.0,0.0
4.0,3.0,3.0,3.0,4.0,4.0,0.0
4.0,1.0,3.0,4.0,4.0,5.0,0.0
3.0,2.0,4.0,4.0,4.0,5.0,1.0
3.0,2.0,4.0,3.6956521739130435,4.0,5.0,1.0
4.0,1.0,3.0,1.0,1.0,4.0,1.0
4.0,2.0,3.0,3.0,4.0,4.0,0.0
5.0,3.0,4.0,3.0,4.0,5.0,1.0
5.0,3.0,4.0,3.0,4.0,5.0,1.0
5.0,2.0,3.0,3.0,2.0,5.0,1.0
4.0,4.0,3.0,4.0,2.0,4.0,1.0
4.0,1.0,3.0,4.0,4.0,3.0,0.0
5.0,2.0,3.0,3.0,3.0,3.0,0.0
4.0,2.0,4.0,3.0,2.0,4.0,1.0
5.0,2.0,3.0,3.0,4.0,5.0,0.0
4.0,3.0,3.0,4.0,2.0,4.0,0.0
3.0,1.0,2.0,4.0,3.0,5.0,1.0
5.0,3.0,4.0,3.6956521739130435,4.0,5.0,1.0
5.0,3.0,3.0,4.0,4.0,5.0,1.0
1.0,1.0,1.0,3.0,1.0,4.0,0.0
5.0,2.0,5.0,5.0,5.0,3.0,1.0
5.0,1.0,3.0,3.0,4.0,4.0,1.0
5.0,1.0,3.0,3.0,4.0,4.0,1.0
5.0,1.0,3.0,3.0,4.0,4.0,1.0
5.0,2.0,4.0,3.0,4.0,5.0,1.0
5.0,2.0,4.0,3.0,4.0,5.0,1.0
4.0,3.0,3.253623188405797,4.0,3.0,4.0,1.0
4.0,3.0,2.0,4.0,3.0,4.0,1.0
5.0,1.0,1.0,5.0,3.0,5.0,0.0
4.0,4.0,4.0,4.0,3.0,4.0,0.0
5.0,3.0,3.253623188405797,5.0,4.0,5.0,1.0
5.0,2.0,4.0,2.0,2.0,4.0,1.0
4.0,4.0,3.0,3.0,2.0,5.0,1.0
4.0,3.0,3.0,3.0,3.0,5.0,0.0
5.0,2.0,4.0,4.0,5.0,5.0,1.0
5.0,2.0,4.0,4.0,5.0,5.0,1.0
5.0,5.0,5.0,2.0,5.0,5.0,0.0
4.0,1.0,3.0,4.0,4.0,4.0,1.0
4.0,1.0,3.0,4.0,4.0,4.0,1.0
3.0,3.0,3.0,5.0,4.0,3.0,0.0
4.0,1.0,1.0,3.0,4.0,4.0,0.0
5.0,1.0,5.0,5.0,5.0,5.0,1.0
5.0,4.0,5.0,5.0,5.0,5.0,1.0
4.0,2.0,2.0,4.0,4.0,5.0,1.0
4.0,3.0,3.0,4.0,3.0,4.0,1.0
3.0,4.0,3.0,4.0,1.0,4.0,0.0
4.0,5.0,5.0,5.0,1.0,3.0,0.0
4.0,3.0,3.0,4.0,2.0,4.0,1.0
5.0,2.0,3.0,3.0,2.0,5.0,0.0
5.0,3.0,3.0,4.0,3.0,3.0,0.0
5.0,2.0,5.0,5.0,5.0,5.0,1.0
3.0,2.0,3.0,3.0,4.0,4.0,0.0
4.0,3.0,2.0,3.0,2.0,4.0,0.0
5.0,2.0,3.0,5.0,5.0,5.0,1.0
5.0,3.0,3.0,3.0,2.0,5.0,0.0
5.0,5.0,5.0,5.0,5.0,5.0,1.0
4.0,3.0,2.0,4.0,4.0,4.0,1.0
3.0,3.0,3.0,3.0,3.0,4.0,0.0
4.0,2.0,4.0,4.0,4.0,4.0,1.0
5.0,3.0,2.0,4.0,4.0,4.0,1.0
4.0,3.0,4.0,4.0,2.0,4.0,0.0
5.0,2.0,3.0,4.0,4.0,5.0,1.0
5.0,3.0,3.0,3.0,5.0,5.0,1.0
4.0,1.0,3.0,4.0,4.0,3.0,0.0
5.0,2.0,4.0,5.0,4.0,5.0,1.0
5.0,4.0,2.0,4.0,3.0,5.0,0.0
3.0,3.0,1.0,3.0,2.0,3.0,0.0
3.0,4.0,5.0,4.0,5.0,4.0,0.0
5.0,1.0,3.0,4.0,5.0,5.0,1.0
5.0,4.0,5.0,5.0,5.0,4.0,1.0
5.0,5.0,3.0,4.0,4.0,5.0,1.0
5.0,4.0,4.0,3.0,3.0,4.0,1.0
5.0,4.0,4.0,4.0,4.0,5.0,1.0
3.0,1.0,3.0,2.0,1.0,2.0,0.0
5.0,5.0,5.0,5.0,5.0,5.0,1.0
4.0,4.0,3.0,4.0,3.0,3.0,0.0
5.0,4.0,5.0,4.0,5.0,4.0,1.0
4.0,2.0,3.0,4.0,3.0,3.0,1.0
3.0,3.0,2.0,4.0,4.0,4.0,0.0
5.0,2.0,2.0,4.0,5.0,5.0,1.0
5.0,3.0,2.0,4.0,4.0,5.0,1.0
3.0,1.0,2.0,3.0,3.0,1.0,0.0
5.0,3.0,4.0,3.0,4.0,3.0,1.0
5.0,2.0,3.0,3.0,3.0,5.0,0.0
4.0,3.0,4.0,4.0,3.0,4.0,1.0
3.0,2.0,2.0,3.0,3.0,3.0,0.0
4.0,1.0,3.0,5.0,3.0,5.0,0.0
5.0,1.0,4.0,3.0,5.0,5.0,1.0
4.0,1.0,3.0,2.0,4.0,4.0,0.0
5.0,1.0,5.0,3.0,5.0,5.0,1.0
4.0,2.0,4.0,4.0,4.0,4.0,0.0
5.0,2.0,4.0,4.0,5.0,5.0,0.0
5.0,3.0,4.0,4.0,4.0,4.0,1.0
5.0,2.0,4.0,4.0,2.0,3.0,1.0
5.0,3.0,3.0,4.0,4.0,5.0,0.0
5.0,3.0,3.0,4.0,4.0,4.0,0.0
3.0,2.0,3.0,3.0,5.0,4.0,0.0
4.0,1.0,3.0,3.0,3.0,4.0,0.0
5.0,1.0,4.0,4.0,4.0,5.0,0.0
5.0,2.0,2.0,4.0,4.0,5.0,0.0
5.0,3.0,5.0,4.0,5.0,5.0,0.0
3.0,4.0,4.0,5.0,1.0,3.0,1.0
5.0,1.0,5.0,5.0,5.0,5.0,1.0
4.0,3.0,3.0,4.0,4.0,4.0,1.0
5.0,5.0,1.0,1.0,5.0,1.0,1.0
4.0,4.0,4.0,4.0,1.0,3.0,0.0
5.0,2.0,3.0,4.0,4.0,3.0,1.0
5.0,3.0,3.0,1.0,3.0,5.0,0.0
5.0,2.0,3.0,4.0,2.0,5.0,1.0
5.0,3.0,3.0,4.0,4.0,5.0,1.0
4.0,3.0,3.0,4.0,4.0,5.0,0.0
5.0,3.0,2.0,5.0,5.0,5.0,0.0
3.0,3.0,3.0,4.0,2.0,4.0,0.0
3.0,2.0,3.0,5.0,4.0,3.0,0.0
5.0,3.0,3.0,3.0,3.0,5.0,1.0
5.0,4.0,3.0,3.0,3.0,5.0,0.0
5.0,4.0,3.0,3.0,3.0,5.0,0.0
5.0,5.0,3.0,5.0,5.0,5.0,1.0
3.0,1.0,2.0,2.0,1.0,3.0,0.0
